master_nlc,station_name,latitude,longitude
7403,Leytonstone High Road,51.56353300,0.00854536
862,Limehouse DLR,51.51235000,-0.03946494
7491,Limehouse NR,51.51287300,-0.03903893
634,Liverpool Street LU,51.51768100,-0.08237585
6965,Liverpool Street NR,51.51804000,-0.08176982
9478,Lloyd Park,51.36421000,-0.08057663
635,London Bridge LU,51.50503200,-0.08588973
5148,London Bridge NR,51.50503200,-0.08588973
533,London City Airport,51.50359000,0.04841582
6966,London Fields,51.54111600,-0.05778372
5082,Loughborough Junction,51.46618800,-0.10217217
636,Loughton,51.64121900,0.05530656
5053,Lower Sydenham,51.42456800,-0.03334230
3645,Luton Airport Parkway,51.87284400,-0.39612796
637,Maida Vale,51.52979300,-0.18578666
3147,Maidenhead,51.51830800,-0.72268496
5599,Malden Manor,51.38472800,-0.26124525
638,Manor House,51.57031800,-0.09639555
6883,Manor Park,51.55220100,0.04503102
639,Mansion House,51.51189300,-0.09522919
640,Marble Arch,51.51343900,-0.15824656
3021,Marlow,51.57113300,-0.76685560
6970,Maryland,51.54605100,0.00592924
641,Marylebone LU,51.52223500,-0.16349907
1475,Marylebone NR,51.52426500,-0.16340295
5149,Maze Hill,51.48261200,0.00353298
6599,Meridian Water,51.61003500,-0.05019285
5475,Merstham,51.26416800,-0.15006738
9479,Merton Park,51.41364000,-0.20113094
642,Mile End,51.52534200,-0.03342881
1527,Mill Hill Broadway,51.61264500,-0.24886691
643,Mill Hill East,51.60827500,-0.21014284
9480,Mitcham,51.39753800,-0.17115718
5069,Mitcham Eastfields,51.40739900,-0.15487532
5427,Mitcham Junction,51.39294900,-0.15777101
9481,Mitcham Junction Trams,51.39268200,-0.15742235
646,Moor Park,51.62977600,-0.43215255
645,Moorgate,51.51824900,-0.08906880
647,Morden,51.40276000,-0.19475749
9482,Morden Road,51.40885200,-0.19272016
5291,Morden South,51.39567900,-0.19923370
648,Mornington Crescent,51.53406400,-0.13809325
5600,Mortlake,51.46806500,-0.26693365
5645,Motspur Park,51.39487200,-0.23960065
5118,Mottingham,51.44025400,0.04995491
857,Mudchute,51.49152300,-0.01491866
649,Neasden,51.55434000,-0.25074633
9484,New Addington,51.34267300,-0.01745157
6018,New Barnet,51.64878700,-0.17291625
5058,New Beckenham,51.41693800,-0.03520870
5150,New Cross,51.47637200,-0.03262688
5345,New Cross Gate,51.47503400,-0.04021578
5119,New Eltham,51.43801500,0.07094848
5567,New Malden,51.40396200,-0.25575693
6019,New Southgate,51.61400400,-0.14302787
650,Newbury Park,51.57550100,0.08996490
831,Nine Elms,51.48000000,0.12850000
5568,Norbiton,51.41230300,-0.28409890
5428,Norbury,51.41137000,-0.12179973
653,North Acton,51.52349000,-0.25938136
5429,North Dulwich,51.45418300,-0.08833419
654,North Ealing,51.51749200,-0.28875337
789,North Greenwich,51.50057500,0.00432072
656,North Harrow,51.58516000,-0.36317690
5601,North Sheen,51.46532300,-0.28658822
659,North Wembley,51.56240400,-0.30387578
655,Northfields,51.49966100,-0.31297754
657,Northolt,51.54846100,-0.36952781
1478,Northolt Park,51.55751700,-0.35927914
6971,Northumberland Park,51.60194100,-0.05394750
660,Northwick Park,51.57849200,-0.31769485
661,Northwood,51.61079800,-0.42370773
662,Northwood Hills,51.60015200,-0.40845327
5376,Norwood Jn,51.39717100,-0.07469762
663,Notting Hill Gate,51.50893000,-0.19619860
5068,Nunhead,51.46683700,-0.05237302
6020,Oakleigh Park,51.63774900,-0.16627872
664,Oakwood,51.64733200,-0.13125903
7451,Ockendon,51.52166300,0.29020757
665,Old Street,51.52562600,-0.08760667
5122,Orpington,51.37360700,0.08871674
667,Osterley,51.48123600,-0.35219620
668,Oval,51.48183800,-0.11239616
669,Oxford Circus,51.51518100,-0.14101084
3087,Paddington NR,51.51727300,-0.17749212
670,Paddington TfL,51.51583800,-0.17485420
6021,Palmers Green,51.61836700,-0.11049214
671,Park Royal,51.52643200,-0.28393487
672,Parsons Green,51.47528400,-0.20115493
5423,Peckham Rye,51.46982400,-0.06986956
5072,Penge East,51.41931300,-0.05413506
5378,Penge West,51.41751500,-0.06069771
673,Perivale,51.53649600,-0.32258889
5123,Petts Wood,51.38862500,0.07456742
9485,Phipps Bridge,51.40331100,-0.18211249
674,Piccadilly Circus,51.50981800,-0.13454248
776,Pimlico,51.48919100,-0.13355516
675,Pinner,51.59265900,-0.38063573
676,Plaistow,51.53115400,0.01667895
5208,Plumstead,51.48977100,0.08401052
6819,Ponders End,51.64295100,-0.03477575
538,Pontoon Dock,51.50225400,0.03322653
858,Poplar,51.50769300,-0.01712681
6022,Potters Bar,51.69725900,-0.19233735
677,Preston Road,51.57227700,-0.29580246
888,Prince Regent,51.50947600,0.03315898
859,Pudding Mill Lane,51.53377600,-0.01364325
7453,Purfleet,51.48105600,0.23678352
5379,Purley,51.33748500,-0.11392436
5430,Purley Oaks,51.34703300,-0.09871302
5603,Putney,51.46115100,-0.21666759
678,Putney Bridge,51.46829700,-0.20881577
680,Queen's Park,51.53387300,-0.20549308
5424,Queens Road Peckham,51.47367300,-0.05733777
679,Queensbury,51.59418600,-0.28617579
5596,Queenstown Road (Battersea),51.47521200,-0.14629385
681,Queensway,51.51049100,-0.18724529
1546,Radlett,51.68539900,-0.31701889
7454,Rainham (Essex),51.51672200,0.19061903
5083,Ravensbourne,51.41431400,-0.00762321
682,Ravenscourt Park,51.49412800,-0.23579403
683,Rayners Lane,51.57521300,-0.37147142
5569,Raynes Park,51.40896200,-0.23054718
3149,Reading,51.45919300,-0.97232904
6967,Rectory Road,51.55862900,-0.06840579
684,Redbridge,51.57632200,0.04540645
5478,Redhill,51.24005000,-0.16557637
5431,Reedham,51.33112700,-0.12341546
9486,Reeves Corner,51.37480700,-0.10625547
685,Regent's Park,51.52362400,-0.14663494
686,Richmond,51.46320400,-0.30041574
687,Rickmansworth,51.64018400,-0.47340019
5432,Riddlesdown,51.33293900,-0.09969807
688,Roding Valley,51.61707800,0.04375721
6886,Romford,51.57504600,0.18308907
1039,Rotherhithe,51.50077600,-0.05190613
890,Royal Albert,51.50839200,0.04587870
690,Royal Oak,51.51901900,-0.18744001
886,Royal Victoria,51.50910700,0.01759300
691,Ruislip,51.57139800,-0.42133349
692,Ruislip Gardens,51.56063200,-0.41045362
693,Ruislip Manor,51.57340100,-0.41179766
694,Russell Square,51.52291800,-0.12426256
6820,Rye House,51.76935900,0.00552440
5380,Salfords,51.20178800,-0.16228711
5433,Sanderstead,51.34839500,-0.09345820
9487,Sandilands,51.37496400,-0.07774167
3061,Seer Green & Jordans,51.61000000,-0.60800000
5434,Selhurst,51.39221000,-0.08864747
6893,Seven Kings,51.56390300,0.09687811
698,Seven Sisters,51.58247600,-0.07492923
860,Shadwell DLR,51.51174500,-0.05553117
1082,Shadwell LO,51.51124600,-0.05692150
6888,Shenfield,51.63074300,0.32975770
700,Shepherd's Bush LU,51.50435800,-0.21832420
775,Shepherd's Bush Market,51.50607000,-0.22628358
9587,Shepherd's Bush NR,51.50516700,-0.21768747
3150,Shiplake,51.51132000,-0.88279481
1024,Shoreditch High Street,51.52326300,-0.07506346
5084,Shortlands,51.40590900,0.00216269
5125,Sidcup,51.43401900,0.10342741
6972,Silver Street,51.61497200,-0.06705457
5154,Slade Green,51.46767100,0.19031312
702,Sloane Square,51.49226400,-0.15613257
3172,Slough,51.51207300,-0.59121621
703,Snaresbrook,51.58099800,0.02152641
1452,South Acton,51.49972600,-0.26989671
