lon,lat,avgPtai2015,ptalNumeric
-0.199724,51.537421,19.1778,5.0
-0.194449,51.535272,27.0788,7.0
-0.199844,51.533488,21.5508,6.0
-0.19536,51.531729,22.5592,6.0
-0.22011,51.558075,16.9757,5.0
-0.223941,51.558907,6.02893,3.0
-0.22412,51.555251,6.41204,3.0
-0.215854,51.555302,24.2404,6.0
-0.218426,51.555058,20.271,6.0
-0.212177,51.551815,15.2121,5.0
-0.221506,51.551575,13.4688,4.0
-0.216356,51.549995,12.834,4.0
-0.207101,51.548639,20.7355,6.0
-0.325817,51.565034,3.15073,2.0
-0.318626,51.566219,4.22988,2.0
-0.307654,51.564316,8.36473,3.0
-0.319757,51.562115,5.34441,3.0
-0.310504,51.566306,3.73595,2.0
-0.325112,51.560568,4.89553,2.0
-0.318871,51.577865,14.9771,4.0
-0.313244,51.569366,6.57701,3.0
-0.299937,51.560397,8.26411,3.0
-0.294956,51.559881,9.18539,3.0
-0.307765,51.574392,4.8928,2.0
-0.299269,51.571779,9.52887,3.0
-0.304792,51.569901,7.54603,3.0
-0.295561,51.56767,9.64411,3.0
-0.290214,51.566124,9.45531,3.0
-0.298573,51.563669,7.48327,3.0
-0.286866,51.563378,15.6884,5.0
-0.22004,51.530424,20.7977,6.0
-0.208291,51.538407,13.5201,4.0
-0.219036,51.536782,14.8603,4.0
-0.214569,51.534333,17.8654,5.0
-0.204405,51.53522,21.4701,6.0
-0.223487,51.535029,18.746,5.0
-0.222626,51.532553,20.9996,6.0
-0.216506,51.531546,25.4762,7.0
-0.270329,51.593919,6.57772,3.0
-0.261586,51.591246,8.43137,3.0
-0.278951,51.590423,7.31725,3.0
-0.269245,51.591109,4.5137,2.0
-0.27878,51.587168,10.2145,4.0
-0.268494,51.597629,13.3227,4.0
-0.27511,51.596259,5.72728,3.0
-0.281579,51.594003,10.194,4.0
-0.2582,51.5436,7.63652,3.0
-0.262575,51.546334,6.14733,3.0
-0.260481,51.539757,17.0746,5.0
-0.260463,51.537978,8.41437,3.0
-0.255316,51.549816,8.08791,3.0
-0.264413,51.551622,8.18938,3.0
-0.258522,51.550693,7.44581,3.0
-0.266503,51.549155,8.91884,3.0
-0.26692,51.544869,10.7299,4.0
-0.33103,51.557425,7.53501,3.0
-0.311374,51.556111,7.60076,3.0
-0.318088,51.557306,8.98574,3.0
-0.324068,51.556133,7.65401,3.0
-0.304835,51.554988,11.5702,4.0
-0.317232,51.552988,15.7886,5.0
-0.310798,51.550261,15.8235,5.0
-0.305881,51.560687,6.7341,3.0
-0.272373,51.555697,8.52318,3.0
-0.289343,51.556225,16.0057,5.0
-0.280954,51.552051,9.45288,3.0
-0.275736,51.550152,5.30492,3.0
-0.271735,51.551178,1.01551,1.0
-0.282115,51.548884,8.14347,3.0
-0.275588,51.546424,10.1976,4.0
-0.25733,51.565487,2.96019,2.0
-0.26468,51.572207,4.83839,2.0
-0.257403,51.573009,1.83461,1.0
-0.263529,51.568426,8.24699,3.0
-0.258612,51.563201,7.31984,3.0
-0.256827,51.561127,10.8824,4.0
-0.252226,51.557323,8.78678,3.0
-0.259515,51.575576,4.47077,2.0
-0.295265,51.550506,12.6801,4.0
-0.303017,51.548148,9.70624,3.0
-0.299694,51.545163,12.2081,4.0
-0.299628,51.549385,21.4938,6.0
-0.301392,51.555315,14.0097,4.0
-0.295602,51.553828,22.6437,6.0
-0.286775,51.551649,16.7044,5.0
-0.23222,51.549587,13.9611,4.0
-0.239333,51.549667,10.6557,4.0
-0.228119,51.549073,14.91,4.0
-0.236481,51.547432,21.8738,6.0
-0.237079,51.550897,17.7922,5.0
-0.224135,51.547802,18.9243,5.0
-0.235421,51.542717,7.8774,3.0
-0.232576,51.54606,15.7692,5.0
0.045885,51.408669,4.29695,2.0
0.030435,51.406637,4.81849,2.0
0.032724,51.403185,2.93262,2.0
0.037427,51.401292,7.97442,3.0
0.055108,51.401997,8.30551,3.0
0.051125,51.396367,4.78328,2.0
0.043047,51.396959,8.29657,3.0
0.049331,51.391707,3.18018,2.0
0.037136,51.410936,3.9032,2.0
0.028103,51.30682,0.711652,1.0
0.022063,51.305537,1.71283,1.0
0.027,51.317488,0.836094,1.0
0.03212,51.313259,4.80241,2.0
0.038561,51.314934,2.0065,1.0
0.025727,51.311233,1.67138,1.0
0.042501,51.385154,6.12614,3.0
0.048364,51.388099,2.57166,2.0
0.060321,51.385216,4.26798,2.0
0.053936,51.381302,1.7047,1.0
0.045162,51.375563,5.66403,3.0
0.032537,51.362434,2.32615,1.0
0.044871,51.368293,5.34512,3.0
